date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2021-06-19,10356036,54713,52527,,,567883,8077,15802,2010,456,168,3055,1285709,3055,1285709,1157,322818,1157,322818,14076,3178216,3758,,89984,951426,236,1682,112266,112266,112266
2021-06-18,10301323,56192,56024,,,566568,8829,15771,2062,460,170,4151,1282654,4151,1282654,1206,321661,1206,321661,15860,3164140,3594,,58456,861442,191,1446,83458,83458,83458
2021-06-17,10245131,56797,56780,,,565339,9479,15738,2117,478,164,6583,1278503,6583,1278503,1831,320455,1831,320455,13816,3148280,3405,,69330,802986,432,1255,95397,95397,95397
2021-06-16,10188326,52205,51921,,,564084,10046,15698,2243,507,164,4591,1271920,4591,1271920,1027,318624,1027,318624,10495,3134464,2998,,59769,733656,65,823,78945,78945,78945
2021-06-15,10136118,52829,41272,,,562701,10802,15650,2342,520,185,10027,1267329,10027,1267329,1065,317597,1065,317597,13603,3123969,2626,,28230,673887,44,758,55595,55595,55595
2021-06-14,10083279,32250,43421,,,561010,11913,15602,2529,586,188,10453,1257302,10453,1257302,541,316532,541,316532,11596,3110366,1506,,30236,645657,28,714,54360,54360,54360
2021-06-13,10051022,54153,53837,,,559360,12981,15562,2567,582,191,12912,1246849,12912,1246849,511,315991,511,315991,15730,3098770,1438,,50071,615421,32,686,80694,80694,80694
2021-06-12,9996859,55456,54861,,,557380,14064,15503,2659,604,195,28701,1233937,28701,1233937,972,315480,972,315480,25808,3083040,2469,,38614,565350,56,654,96620,96620,96620
2021-06-11,9941391,60645,59964,,,555245,15306,15435,2716,625,197,24816,1205236,24816,1205236,1367,314508,1367,314508,19057,3057232,2448,,10316,526736,15,598,58019,58019,58019
2021-06-10,9880737,56743,56428,,,553174,16244,15367,2797,655,212,10371,1180420,10371,1180420,575,313141,575,313141,8859,3038175,2065,,4557,516420,38,583,26465,26465,26465
2021-06-09,9823991,61823,61350,,,550837,17344,15293,3024,619,240,12855,1170049,12855,1170049,754,312566,754,312566,9407,3029316,1916,,4841,511863,34,545,29807,29807,29807
2021-06-08,9762160,63480,51545,,,548316,18546,15219,3094,654,247,17951,1157194,17951,1157194,1016,311812,1016,311812,16794,3019909,2228,,6307,507022,27,511,44323,44323,44323
2021-06-07,9698676,37873,49156,,,545674,19995,15160,3198,723,250,18502,1139243,18502,1139243,841,310796,841,310796,20997,3003115,2638,,4528,500715,10,484,47516,47516,47516
2021-06-06,9660801,62739,62720,,,542324,22160,15076,3255,684,276,17683,1120741,17683,1120741,351,309955,351,309955,18109,2982118,1517,,2834,496187,123,474,40617,40617,40617
2021-06-04,9530712,67918,67449,,,534915,26277,14927,3575,735,284,19394,1079660,19394,1079660,1054,309033,1054,309033,30435,2933373,3067,,8721,486421,117,319,62788,62788,62788
2021-06-03,9462776,69039,68730,,,530601,28673,14840,3680,730,288,10145,1060266,10145,1060266,651,307979,651,307979,14284,2902938,2643,,6157,477700,148,202,34028,34028,34028
2021-06-01,9325491,69340,59199,,,521663,33444,14649,4163,785,296,9692,920914,9692,920914,653,253715,653,253715,16119,2846545,4193,,4550,466597,,,35207,35207,35207
2021-05-31,9256146,46304,56533,,,516624,36433,14550,4450,825,314,9152,911222,9152,911222,795,253062,795,253062,16877,2830426,4407,,8060,462047,,,39291,39291,39291
2021-05-30,9209841,67416,66949,,,511720,39263,14432,4740,861,310,7715,902070,7715,902070,444,252267,444,252267,18765,2813549,3260,,1407,453987,,,31591,31591,31591
2021-05-29,9142425,68145,68014,,,506349,42177,14305,4918,878,326,8613,894355,8613,894355,1037,251823,1037,251823,23620,2794784,4064,,4550,452580,,,41884,41884,41884
2021-05-28,9074280,72812,72702,,,500651,44964,14180,5302,920,369,4740,885742,4740,885742,789,250786,789,250786,6053,2771164,3091,,2971,448030,,,17644,17644,17644
2021-05-27,9001438,75698,72104,,,493854,48231,14004,5809,943,358,5094,881002,5094,881002,644,249997,644,249997,9921,2765111,3755,,6954,445059,,,26368,26368,26368
