date,cases_new,cases_total,discharged_total,discharged_new,deaths_total,deaths_new,cases_active_total,cases_active_new,discharge_rate,fatality_rate
04-06-2021,7913,1411448,1342391,16557,16034,113,53023,-8757,95.11,
03-06-2021,8811,1403535,1325834,16938,15921,108,61780,-8235,94.46,
02-06-2021,8923,1394724,1308896,17386,15813,135,70015,-8598,93.85,
01-06-2021,9424,1385801,1291510,17722,15678,137,78613,-8435,93.2,
31-05-2021,10137,1376377,1273788,17856,15541,131,87048,-7850,92.55,
30-05-2021,11284,1366240,1255932,18642,15410,142,94898,-7500,91.93,
29-05-2021,11514,1354956,1237290,18774,15268,148,102398,-7408,91.32,
28-05-2021,12193,1343442,1218516,19396,15120,145,109806,-7348,90.7,
27-05-2021,13046,1331249,1199120,19121,14975,148,117154,-6223,90.07,
26-05-2021,16225,1318203,1179999,19071,14827,153,123377,-2999,89.52,
25-05-2021,17005,1301978,1160928,19057,14674,157,126376,-2209,89.17,
24-05-2021,17883,1284973,1141871,19670,14517,153,128585,-1940,88.86,
23-05-2021,18422,1267090,1122201,19429,14364,156,130525,-1163,88.57,
22-05-2021,18863,1248668,1102772,19202,14208,154,131688,-493,88.32,
21-05-2021,19847,1229805,1083570,19017,14054,159,132181,671,88.11,
20-05-2021,19091,1209958,1064553,18910,13895,162,131510,19,87.98,
19-05-2021,19006,1190867,1045643,19151,13733,157,131491,-302,87.81,
18-05-2021,19428,1171861,1026492,19050,13576,145,131793,233,87.6,
17-05-2021,19003,1152433,1007442,19101,13431,147,131560,-245,87.42,
16-05-2021,19117,1133430,988341,19113,13284,147,131805,-143,87.2,
15-05-2021,19511,1114313,969228,19211,13137,144,131948,156,86.98,
14-05-2021,20846,1094802,950017,19131,12993,136,131792,1579,86.78,
13-05-2021,20839,1073956,930886,19181,12857,129,130213,1529,86.68,
12-05-2021,20377,1053117,911705,19231,12728,135,128684,1011,86.57,
11-05-2021,20136,1032740,892474,18994,12593,132,127673,1010,86.42,
10-05-2021,19445,1012604,873480,18675,12461,134,126663,636,86.26,
09-05-2021,19441,993159,854805,18454,12327,124,126027,863,86.07,
08-05-2021,19436,973718,836351,18243,12203,127,125164,1066,85.89,
07-05-2021,19216,954282,818108,17780,12076,112,124098,1324,85.73,
06-05-2021,18431,935066,800328,17412,11964,117,122774,902,85.59,
05-05-2021,18102,916635,782916,17073,11847,103,121872,926,85.41,
04-05-2021,17639,898533,765843,16547,11744,107,120946,985,85.23,
03-05-2021,17501,880894,749296,15937,11637,98,119961,1466,85.06,
02-05-2021,17515,863393,733359,15587,11539,92,118495,1836,84.94,
01-05-2021,17512,845878,717772,14374,11447,103,116659,3035,84.86,
30-04-2021,17411,828366,703398,13932,11344,96,113624,3383,84.91,
29-04-2021,17403,810955,689466,12885,11248,89,110241,4429,85.02,
28-04-2021,17207,793552,676581,11933,11159,77,105812,5197,85.26,
27-04-2021,16403,776345,664648,10664,11082,73,100615,5666,85.61,
26-04-2021,15992,759942,653984,9775,11009,68,94949,6149,86.06,
25-04-2021,15889,743950,644209,8407,10941,57,88800,7425,86.59,
24-04-2021,14281,728061,635802,7584,10884,59,81375,6638,87.33,
23-04-2021,12876,713780,628218,6878,10825,59,74737,5939,88.01,
22-04-2021,11948,700904,621340,6590,10766,56,68798,5302,88.65,
21-04-2021,10784,688956,614750,5616,10710,58,63496,5110,89.23,
20-04-2021,9819,678172,609134,4805,10652,46,58386,4968,89.82,
19-04-2021,8426,668353,604329,4608,10606,38,53418,3780,90.42,
18-04-2021,8419,659927,599721,4053,10568,28,49638,4338,90.88,
17-04-2021,7713,651508,595668,3426,10540,34,45300,4253,91.43,
16-04-2021,6910,643795,592242,2818,10506,26,41047,4066,91.99,
15-04-2021,6769,636885,589424,2387,10480,22,36981,4360,92.55,
14-04-2021,5892,630116,587037,2297,10458,24,32621,3571,93.16,
13-04-2021,4817,624224,584740,2278,10434,20,29050,2519,93.67,
12-04-2021,4511,619407,582462,1947,10414,14,26531,2550,94.04,
11-04-2021,4398,614896,580515,1773,10400,10,23981,2615,94.41,
10-04-2021,4043,610498,578742,1268,10390,12,21366,2763,94.8,
09-04-2021,3648,606455,577474,1146,10378,8,18603,2494,95.22,
08-04-2021,2783,602807,576328,957,10370,7,16109,1819,95.61,
07-04-2021,2390,600024,575371,867,10363,8,14290,1515,95.89,
06-04-2021,2058,597634,574504,722,10355,7,12775,1329,96.13,
05-04-2021,1961,595576,573782,664,10348,4,11446,1293,96.34,
04-04-2021,1957,593615,573118,644,10344,4,10153,1309,96.55,
03-04-2021,1736,591658,572474,579,10340,5,8844,1152,96.76,
02-04-2021,1733,589922,571895,550,10335,4,7692,1179,96.94,
01-04-2021,1274,588189,571345,534,10331,2,6513,738,97.14,
31-03-2021,982,586915,570811,508,10329,2,5775,472,97.26,
30-03-2021,628,585933,570303,475,10327,2,5303,151,97.33,
29-03-2021,639,585305,569828,462,10325,1,5152,176,97.36,
28-03-2021,827,584666,569366,457,10324,2,4976,368,97.38,
27-03-2021,812,583839,568909,433,10322,2,4608,377,97.44,
26-03-2021,646,583027,568476,361,10320,4,4231,281,97.5,
25-03-2021,516,582381,568115,344,10316,4,3950,168,97.55,
24-03-2021,462,581865,567771,334,10312,2,3782,126,97.58,
23-03-2021,404,581403,567437,320,10310,2,3656,82,97.6,
22-03-2021,368,580999,567117,296,10308,2,3574,70,97.61,
21-03-2021,422,580631,566821,295,10306,3,3504,124,97.62,
20-03-2021,383,580209,566526,298,10303,2,3380,83,97.64,
19-03-2021,347,579826,566228,290,10301,1,3297,56,97.65,
18-03-2021,323,579479,565938,268,10300,2,3241,53,97.66,
17-03-2021,303,579156,565670,272,10298,1,3188,30,97.67,
16-03-2021,255,578853,565398,242,10297,2,3158,11,97.68,
15-03-2021,251,578598,565156,244,10295,3,3147,4,97.68,
14-03-2021,283,578347,564912,275,10292,4,3143,4,97.68,
13-03-2021,276,578064,564637,269,10288,1,3139,6,97.68,
12-03-2021,277,577788,564368,253,10287,1,3133,23,97.68,
11-03-2021,244,577511,564115,258,10286,3,3110,-17,97.68,
10-03-2021,241,577267,563857,256,10283,2,3127,-17,97.68,
09-03-2021,188,577026,563601,198,10281,1,3144,-11,97.67,
08-03-2021,215,576838,563403,221,10280,2,3155,-8,97.67,
07-03-2021,188,576623,563182,237,10278,1,3163,-50,97.67,
06-03-2021,259,576435,562945,270,10277,2,3213,-13,97.66,
05-03-2021,255,576176,562675,263,10275,2,3226,-10,97.66,
04-03-2021,209,575921,562412,217,10273,1,3236,-9,97.65,
03-03-2021,225,575712,562195,231,10272,2,3245,-8,97.65,
02-03-2021,171,575487,561964,209,10270,2,3253,-40,97.65,
01-03-2021,198,575316,561755,212,10268,0,3293,-14,97.64,
28-02-2021,192,575118,561543,216,10268,2,3307,-26,97.64,
27-02-2021,210,574926,561327,217,10266,3,3333,-10,97.63,
26-02-2021,216,574716,561110,223,10263,3,3343,-10,97.63,
25-02-2021,199,574500,560887,219,10260,4,3353,-24,97.63,
24-02-2021,202,574301,560668,221,10256,3,3377,-22,97.63,
23-02-2021,189,574099,560447,228,10253,2,3399,-41,97.62,
22-02-2021,148,573910,560219,231,10251,2,3440,-85,97.61,
21-02-2021,182,573762,559988,233,10249,3,3525,-54,97.6,
20-02-2021,193,573580,559755,235,10246,4,3579,-46,97.59,
19-02-2021,194,573387,559520,238,10242,3,3625,-47,97.58,
18-02-2021,181,573193,559282,243,10239,2,3672,-64,97.57,
17-02-2021,133,573012,559039,249,10237,2,3736,-118,97.56,
16-02-2021,151,572879,558790,255,10235,2,3854,-106,97.54,
15-02-2021,133,572728,558535,258,10233,1,3960,-126,97.52,
14-02-2021,190,572595,558277,262,10232,2,4086,-74,97.5,
13-02-2021,185,572405,558015,257,10230,1,4160,-73,97.49,
12-02-2021,188,572220,557758,264,10229,4,4233,-80,97.47,
11-02-2021,217,572032,557494,286,10225,5,4313,-74,97.46,
10-02-2021,179,571815,557208,283,10220,5,4387,-109,97.45,
09-02-2021,146,571636,556925,276,10215,6,4496,-136,97.43,
08-02-2021,119,571490,556649,279,10209,2,4632,-162,97.4,
07-02-2021,193,571371,556370,289,10207,5,4794,-101,97.37,
06-02-2021,197,571178,556081,293,10202,1,4895,-97,97.36,
