,date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes,day,month,year,Index,people_per_hospital,covid_beds_for_population,icu_hdu_beds_for_population,ventilators_for_population,people_per_hospital_per_million,covid_beds_per_million,icu_hdu_beds_per_million,ventilators_per_million
40,12-08-2021,203.0,196,7.0,23947.0,3.78,2861,200.0,11507.0,,,8653.0,,1180.0,294.0,Thursday,August2021,2021,20210812,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
39,13-08-2021,203.0,196,7.0,23947.0,3.67,2861,200.0,11507.0,,,8655.0,,1154.0,300.0,Friday,August2021,2021,20210813,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
38,14-08-2021,203.0,196,7.0,23947.0,3.62,2861,200.0,11507.0,,,8637.0,,1143.0,298.0,Saturday,August2021,2021,20210814,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
37,15-08-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,8666.0,,1072.0,292.0,Sunday,August2021,2021,20210815,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
36,16-08-2021,203.0,196,7.0,23947.0,3.58,2861,200.0,11507.0,,,8434.0,,1121.0,277.0,Monday,August2021,2021,20210816,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
35,17-08-2021,203.0,196,7.0,23947.0,3.38,2861,200.0,11507.0,,,8389.0,,1070.0,277.0,Tuesday,August2021,2021,20210817,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
34,18-08-2021,203.0,196,7.0,23947.0,3.58,2861,200.0,11507.0,,,8316.0,,1116.0,283.0,Wednesday,August2021,2021,20210818,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
33,19-08-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,8371.0,,1031.0,251.0,Thursday,August2021,2021,20210819,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
32,20-08-2021,203.0,196,7.0,23947.0,3.07,2861,200.0,11507.0,,,8424.0,,966.0,245.0,Friday,August2021,2021,20210820,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
31,21-08-2021,203.0,196,7.0,23947.0,3.03,2861,200.0,11507.0,,,8388.0,,967.0,239.0,Saturday,August2021,2021,20210821,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
30,22-08-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,8216.0,,1011.0,234.0,Sunday,August2021,2021,20210822,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
29,23-08-2021,203.0,196,7.0,23947.0,3.18,2861,200.0,11507.0,,,8083.0,,1010.0,243.0,Monday,August2021,2021,20210823,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
28,24-08-2021,203.0,196,7.0,23947.0,2.99,2861,200.0,11507.0,,,8005.0,,961.0,251.0,Tuesday,August2021,2021,20210824,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
27,25-08-2021,203.0,196,7.0,23947.0,3.05,2861,200.0,11507.0,,,7971.0,,973.0,241.0,Wednesday,August2021,2021,20210825,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
26,27-08-2021,203.0,196,7.0,23947.0,3.28,2861,200.0,11507.0,,,7878.0,,1030.0,235.0,Friday,August2021,2021,20210827,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
25,28-08-2021,203.0,196,7.0,23947.0,3.02,2861,200.0,11507.0,,,7894.0,,975.0,240.0,Saturday,August2021,2021,20210828,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
24,29-08-2021,203.0,196,7.0,23947.0,3.05,2861,200.0,11507.0,,,7841.0,,986.0,243.0,Sunday,August2021,2021,20210829,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
23,30-08-2021,203.0,196,7.0,23947.0,3.07,2861,200.0,11507.0,,,7701.0,,985.0,236.0,Monday,August2021,2021,20210830,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
22,31-08-2021,203.0,196,7.0,23947.0,3.09,2861,200.0,11507.0,,,7575.0,,1005.0,235.0,Tuesday,August2021,2021,20210831,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
21,01-09-2021,203.0,196,7.0,23947.0,3.22,2861,200.0,11507.0,,,7516.0,,1049.0,236.0,Wednesday,September2021,2021,20210901,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
20,02-09-2021,203.0,196,7.0,23947.0,3.1,2861,200.0,11507.0,,,7473.0,,1023.0,238.0,Thursday,September2021,2021,20210902,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
19,03-09-2021,203.0,196,7.0,23947.0,3.24,2861,200.0,11507.0,,,7392.0,,1066.0,236.0,Friday,September2021,2021,20210903,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
18,04-09-2021,203.0,196,7.0,23947.0,3.19,2861,200.0,11507.0,,,7398.0,,1047.0,234.0,Saturday,September2021,2021,20210904,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
17,05-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,7370.0,,1029.0,253.0,Sunday,September2021,2021,20210905,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
16,06-09-2021,203.0,196,7.0,23947.0,3.43,2861,200.0,11507.0,,,7152.0,,1097.0,231.0,Monday,September2021,2021,20210906,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
15,07-09-2021,203.0,196,7.0,23947.0,3.21,2861,200.0,11507.0,,,7110.0,,1042.0,235.0,Tuesday,September2021,2021,20210907,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
14,08-09-2021,203.0,196,7.0,23947.0,3.36,2861,200.0,11507.0,,,6965.0,,1091.0,232.0,Wednesday,September2021,2021,20210908,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
13,09-09-2021,203.0,196,7.0,23947.0,3.25,2861,200.0,11507.0,,,6941.0,,1069.0,236.0,Thursday,September2021,2021,20210909,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
12,10-09-2021,203.0,196,7.0,23947.0,3.24,2861,200.0,11507.0,,,6904.0,,1069.0,246.0,Friday,September2021,2021,20210910,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
11,11-09-2021,203.0,196,7.0,23947.0,3.08,2861,200.0,11507.0,,,6936.0,,1020.0,247.0,Saturday,September2021,2021,20210911,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
10,12-09-2021,203.0,196,7.0,23947.0,,2861,200.0,11507.0,,,6860.0,,1079.0,248.0,Sunday,September2021,2021,20210912,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
9,13-09-2021,203.0,196,7.0,23947.0,3.36,2861,200.0,11507.0,,,6755.0,,1091.0,250.0,Monday,September2021,2021,20210913,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
8,14-09-2021,203.0,196,7.0,23947.0,3.43,2861,200.0,11507.0,,,6707.0,,1118.0,249.0,Tuesday,September2021,2021,20210914,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
7,15-09-2021,203.0,196,7.0,23947.0,3.32,2861,200.0,11507.0,,,6679.0,,1121.0,250.0,Wednesday,September2021,2021,20210915,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
