date,district,deaths_reported,death_through_appeal,pending_deaths,death_cases_approved
07-11-2021,Idukki,3,0,0,3
07-11-2021,Ernakulam,6,0,7,13
07-11-2021,Thrissur,0,0,0,0
07-11-2021,Palakkad,2,21,0,23
07-11-2021,Malappuram,1,0,0,1
07-11-2021,Kozhikode,1,6,84,91
07-11-2021,Wayanad,2,0,0,2
07-11-2021,Kannur,0,0,43,43
07-11-2021,Kasaragod,0,0,19,19
07-11-2021,total,21,27,153,201
12-11-2021,Thiruvananthapuram,5,40,0,45
12-11-2021,Kollam,11,83,0,94
12-11-2021,Pathanamthitta,13,0,0,13
12-11-2021,Alappuzha,0,30,0,30
12-11-2021,Kottayam,14,0,0,14
12-11-2021,Idukki,0,8,0,8
12-11-2021,Ernakulam,10,139,0,149
12-11-2021,Thrissur,1,81,0,82
12-11-2021,Palakkad,1,0,0,1
12-11-2021,Malappuram,0,4,0,4
12-11-2021,Kozhikode,4,22,0,26
12-11-2021,Wayanad,0,0,0,0
12-11-2021,Kannur,0,0,0,0
12-11-2021,Kasaragod,0,5,0,5
12-11-2021,total,59,412,0,471
13-11-2021,Thiruvananthapuram,8,21,0,29
13-11-2021,Kollam,0,47,0,47
13-11-2021,Pathanamthitta,0,59,0,59
13-11-2021,Alappuzha,0,18,0,18
13-11-2021,Kottayam,0,0,0,0
13-11-2021,Idukki,0,0,0,0
13-11-2021,Ernakulam,4,5,0,9
13-11-2021,Thrissur,1,0,0,1
13-11-2021,Palakkad,9,0,0,9
13-11-2021,Malappuram,0,1,0,1
13-11-2021,Kozhikode,1,0,0,1
13-11-2021,Wayanad,0,0,0,0
13-11-2021,Kannur,0,0,0,0
13-11-2021,Kasaragod,0,0,0,0
13-11-2021,total,23,151,0,174
16-11-2021,Thiruvananthapuram,6,16,0,22
16-11-2021,Kollam,6,86,0,92
16-11-2021,Pathanamthitta,5,0,0,5
16-11-2021,Alappuzha,1,15,0,16
16-11-2021,Kottayam,2,0,0,2
16-11-2021,Idukki,0,6,0,6
16-11-2021,Ernakulam,7,0,0,7
16-11-2021,Thrissur,2,0,0,2
16-11-2021,Palakkad,0,2,0,2
16-11-2021,Malappuram,2,0,0,2
16-11-2021,Kozhikode,3,0,0,3
16-11-2021,Wayanad,2,32,0,34
16-11-2021,Kannur,0,0,0,0
16-11-2021,Kasaragod,3,14,0,17
16-11-2021,total,39,171,0,210
17-11-2021,Thiruvananthapuram,17,5,0,22
17-11-2021,Kollam,6,84,0,90
17-11-2021,Pathanamthitta,11,45,0,56
17-11-2021,Alappuzha,0,21,0,21
17-11-2021,Kottayam,0,0,0,0
17-11-2021,Idukki,0,9,0,9
17-11-2021,Ernakulam,10,45,0,55
17-11-2021,Thrissur,6,79,0,85
17-11-2021,Palakkad,3,14,0,17
17-11-2021,Malappuram,1,23,0,24
17-11-2021,Kozhikode,3,0,0,3
17-11-2021,Wayanad,3,0,0,3
17-11-2021,Kannur,0,0,0,0
17-11-2021,Kasaragod,1,2,0,3
17-11-2021,total,61,327,0,388
21-11-2021,Thiruvananthapuram,11,11,0,22
21-11-2021,Kollam,3,78,0,81
21-11-2021,Pathanamthitta,13,45,0,58
21-11-2021,Alappuzha,0,0,0,0
21-11-2021,Kottayam,8,0,0,8
21-11-2021,Idukki,0,0,0,0
21-11-2021,Ernakulam,0,0,0,0
21-11-2021,Thrissur,0,0,0,0
21-11-2021,Palakkad,4,9,0,13
21-11-2021,Malappuram,0,0,0,0
21-11-2021,Kozhikode,0,3,0,3
21-11-2021,Wayanad,1,0,0,1
21-11-2021,Kannur,0,1,0,1
21-11-2021,Kasaragod,0,9,0,9
21-11-2021,total,40,156,0,196
23-11-2021,Thiruvananthapuram,18,11,0,29
23-11-2021,Kollam,11,133,0,144
23-11-2021,Pathanamthitta,0,45,0,45
23-11-2021,Alappuzha,0,27,0,27
23-11-2021,Kottayam,0,25,0,25
23-11-2021,Idukki,0,0,0,0
23-11-2021,Ernakulam,5,31,0,36
23-11-2021,Thrissur,8,0,0,8
23-11-2021,Palakkad,6,30,0,36
23-11-2021,Malappuram,7,0,0,7
23-11-2021,Kozhikode,2,0,0,2
23-11-2021,Wayanad,0,10,0,10
23-11-2021,Kannur,0,1,0,1
23-11-2021,Kasaragod,0,0,0,0
23-11-2021,total,57,313,0,370
25-11-2021,Thiruvananthapuram,13,33,0,46
25-11-2021,Kollam,9,0,0,9
25-11-2021,Pathanamthitta,7,0,0,7
25-11-2021,Alappuzha,1,28,0,29
25-11-2021,Kottayam,6,78,0,84
25-11-2021,Idukki,6,21,0,27
25-11-2021,Ernakulam,8,10,0,18
25-11-2021,Thrissur,1,0,0,1
25-11-2021,Palakkad,4,11,0,15
25-11-2021,Malappuram,0,0,0,0
25-11-2021,Kozhikode,1,69,0,70
25-11-2021,Wayanad,0,0,0,0
25-11-2021,Kannur,0,78,0,78
25-11-2021,Kasaragod,0,0,0,0
25-11-2021,total,56,328,0,384
26-11-2021,Thiruvananthapuram,5,35,0,40
26-11-2021,Kollam,5,0,0,5
26-11-2021,Pathanamthitta,0,1,0,1
26-11-2021,Alappuzha,2,15,0,17
26-11-2021,Kottayam,0,58,0,58
26-11-2021,Idukki,0,10,0,10
26-11-2021,Ernakulam,4,5,0,9
26-11-2021,Thrissur,4,113,0,117
26-11-2021,Palakkad,8,25,0,33
26-11-2021,Malappuram,3,31,0,34
26-11-2021,Kozhikode,2,0,0,2
26-11-2021,Wayanad,0,0,0,0
26-11-2021,Kannur,0,62,0,62
26-11-2021,Kasaragod,0,0,0,0
26-11-2021,total,33,355,0,388
27-11-2021,Thiruvananthapuram,6,9,0,15
27-11-2021,Kollam,6,156,0,162
27-11-2021,Pathanamthitta,0,43,0,43
27-11-2021,Alappuzha,0,31,0,31
27-11-2021,Kottayam,0,60,0,60
27-11-2021,Idukki,0,0,0,0
27-11-2021,Ernakulam,4,29,0,33
27-11-2021,Thrissur,3,103,0,106
27-11-2021,Palakkad,4,19,0,23
27-11-2021,Malappuram,0,50,0,50
27-11-2021,Kozhikode,3,0,0,3
27-11-2021,Wayanad,2,3,0,5
27-11-2021,Kannur,0,17,0,17
27-11-2021,Kasaragod,0,6,0,6
27-11-2021,total,28,526,0,554
29-11-2021,Thiruvananthapuram,7,16,0,23
29-11-2021,Kollam,3,0,0,3
29-11-2021,Pathanamthitta,0,0,0,0
29-11-2021,Alappuzha,3,21,0,24
29-11-2021,Kottayam,17,0,0,17
29-11-2021,Idukki,0,0,0,0
29-11-2021,Ernakulam,3,0,0,3
29-11-2021,Thrissur,8,0,0,8
29-11-2021,Palakkad,1,0,0,1
29-11-2021,Malappuram,9,0,0,9
29-11-2021,Kozhikode,5,0,0,5
29-11-2021,Wayanad,3,0,0,3
29-11-2021,Kannur,0,21,0,21
29-11-2021,Kasaragod,0,0,0,0
29-11-2021,total,59,58,0,117
30-11-2021,Thiruvananthapuram,3,28,0,31
30-11-2021,Kollam,5,0,0,5
30-11-2021,Pathanamthitta,0,79,0,79
30-11-2021,Alappuzha,0,21,0,21
30-11-2021,Kottayam,0,0,0,0
30-11-2021,Idukki,0,12,0,12
30-11-2021,Ernakulam,0,0,0,0
30-11-2021,Thrissur,7,0,0,7
30-11-2021,Palakkad,0,2,0,2
30-11-2021,Malappuram,2,0,0,2
30-11-2021,Kozhikode,0,0,0,0
30-11-2021,Wayanad,0,0,0,0
30-11-2021,Kannur,0,9,0,9
