date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2021-03-11,69,18034,2520835,97634,93884,1698,642,851
2021-03-10,36,10548,2500644,97565,93858,1697,600,4680
2021-03-09,49,9886,2487980,97529,93813,1695,611,8120
2021-03-08,58,10257,2479995,97480,93715,1695,662,8792
2021-03-07,59,6916,2471096,97422,93689,1695,632,
2021-03-06,78,8624,2463762,97363,93667,1694,596,12082
2021-03-05,51,8391,2454398,97285,93629,1694,556,12470
2021-03-04,100,7923,2445312,97234,93594,1692,542,12769
2021-03-03,45,8922,2436780,97134,93575,1692,463,7210
2021-03-02,70,8574,2426085,97089,93544,1692,451,6350
2021-03-01,27,10017,2417419,97019,93479,1692,447,332
2021-02-28,43,19194,2406703,96992,93453,1692,451,
2021-02-27,81,18581,2384737,96949,93442,1692,421,
2021-02-26,53,9716,2369727,96890,93438,1691,364,6792
2021-02-25,17,8172,2359483,96837,93400,1690,351,3992
2021-02-24,47,8317,2341175,96820,93348,1690,388,3503
2021-02-22,32,7026,2325000,96719,93230,1689,411,4793
2021-02-21,30,3156,2319133,96687,93158,1687,457,496
2021-02-20,13,7248,2312851,96657,93142,1686,454,2602
2021-02-19,26,9403,2303686,97031,93407,1686,495,5487
2021-02-18,41,8992,2294135,97005,93339,1684,549,3981
2021-02-17,44,18574,2286792,96964,93309,1683,548,5036
2021-02-16,53,11595,2266583,96920,93256,1682,564,5024
2021-02-15,47,7782,2255193,96867,93160,1680,615,6376
2021-02-14,54,4733,2247287,96820,93061,1680,687,1470
2021-02-13,44,13093,2240181,96766,93060,1680,637,4922
2021-02-12,49,15233,2230515,96722,93013,1678,648,6434
2021-02-11,48,8772,2220621,96673,92950,1676,669,7135
2021-02-10,35,7783,2210318,96625,92873,1674,707,5124
2021-02-09,54,7874,2203190,96590,92763,1673,790,6076
2021-02-08,43,7158,2195969,96536,92696,1671,808,4676
2021-02-07,15,3867,2190489,96493,92554,1668,912,845
2021-02-06,47,6455,2184998,96478,92519,1664,937,3470
2021-02-05,47,6657,2175808,96431,92469,1662,945,7434
2021-02-04,103,6605,2167413,96384,92372,1659,1002,8705
2021-02-03,54,7771,2159724,96281,92280,1655,997,10723
2021-02-02,47,6775,2150398,96227,92185,1651,1043,5925
2021-02-01,51,7897,2142303,96180,92105,1648,1081,6077
2021-05-31,1156,29223,4794885,329494,288928,6452,28371,15203
2021-05-30,1226,22766,4764419,328338,285889,6401,30357,12364
2021-05-29,1687,32682,4734270,327112,283962,6360,31110,15460
2021-05-28,1942,34860,4697243,325425,279516,6261,33994,17629
2021-05-27,2146,34601,4659648,323483,272488,6201,39177,17524
2021-05-26,2991,29751,4622698,321337,266182,6113,43520,12520
2021-05-25,2756,36541,4585942,318346,261328,6020,45568,19648
2021-05-24,2071,32214,4548874,315590,254654,5927,49579,23829
2021-05-23,3050,28142,4516781,313519,247603,5805,54735,9769
2021-05-22,2903,34191,4475669,310469,241430,5734,57929,12957
2021-05-21,3626,31491,4443937,307566,233266,5600,63373,14860
2021-05-20,3658,26414,4401501,303940,224535,5484,68643,15959
2021-05-19,4492,35177,4366657,300282,216529,5325,73172,12621
2021-05-18,4785,35004,4329896,295790,209196,5132,76232,23750
2021-05-17,3719,28676,4291896,291005,202177,5034,78608,28214
2021-05-16,4496,21224,4262233,287286,198530,4811,78802,18421
2021-05-15,5654,27881,4228389,283239,193496,4623,80000,33090
2021-05-14,5775,25291,4204379,277585,188690,4426,79379,32881
2021-05-13,7127,26089,4175285,271810,184207,4245,78304,30843
2021-05-12,7749,27796,4146577,264683,178459,4123,77082,38931
2021-05-11,7120,29650,4111684,256934,171454,4014,76500,53036
2021-05-10,5541,25497,4083756,249814,166521,3896,74480,63779
2021-05-09,5890,17579,4057194,244273,161634,3728,74114,22855
2021-05-08,8390,34937,4030481,238383,158903,3548,71174,48553
