date,general_queries_24h,general_queries_cum,consultations_24h,consultations_total,ambulances_assigned_24h,ambulance_calls_24h,telepsych_counselling_24h,telepsych_counselling_total
01-12-2020,2578,1454616,2615,495892,398,,2681,192199
30-11-2020,2607,1452009,2670,493222,405,,2764,189435
29-11-2020,2676,1449333,2753,490469,414,,2831,186604
28-11-2020,2724,1446609,2889,487580,427,,2950,183654
27-11-2020,2795,1443814,2857,484723,432,,3090,180564
26-11-2020,2856,1440958,2961,481762,446,,3184,177380
25-11-2020,2907,1438051,3035,478727,463,,3295,174085
24-11-2020,2985,1435066,3056,475671,457,,3245,170840
23-11-2020,3093,1431973,3159,472512,462,,3283,167557
22-11-2020,3078,1428895,3137,469375,469,,3215,164342
21-11-2020,3116,1425779,3131,466244,461,,3208,161134
20-11-2020,3167,1422612,3182,463062,474,,3123,158011
19-11-2020,3234,1419378,3243,459819,467,,3014,154997
18-11-2020,3213,1416165,3367,456452,488,,2989,152008
17-11-2020,3174,1412991,3245,453207,476,,2912,149096
16-11-2020,3160,1409831,3291,449916,469,,2865,146231
15-11-2020,3219,1406612,3367,446549,467,,2831,143400
14-11-2020,3392,1403220,3421,443128,483,,2709,140691
13-11-2020,3437,1399783,3466,439662,489,,2689,138002
12-11-2020,3465,1396318,3475,436187,485,,2681,135321
11-11-2020,3514,1392804,3677,432510,513,,2507,132814
10-11-2020,3567,1389237,3721,428789,509,,2431,130383
09-11-2020,3452,1385785,3670,425119,521,,2103,128280
08-11-2020,3342,1382443,3745,421374,529,,1903,126377
07-11-2020,3376,1379067,3823,417551,534,,1825,124552
06-11-2020,3224,1375843,3728,413823,512,,1746,122806
05-11-2020,3198,1372645,3623,410200,498,,1532,121274
04-11-2020,3127,1369518,3533,406667,483,,1031,120243
03-11-2020,3184,1366334,3508,403159,485,,1072,119171
02-11-2020,3173,1363161,3529,399630,481,,1063,118108
01-11-2020,3139,1360022,3583,396047,483,,1092,117016
31-10-2020,3183,1356839,3564,392483,482,,1063,115953
30-10-2020,3152,1353687,3548,388935,481,,1078,114875
29-10-2020,3129,1350558,3573,385362,481,,1063,113812
28-10-2020,3107,1347451,3589,381773,479,,1085,112727
27-10-2020,3137,1344314,3631,378142,482,,1105,111622
26-10-2020,3275,1341039,3724,374418,486,,1149,110473
25-10-2020,3376,1337663,3893,370525,489,,1237,109236
24-10-2020,3273,1334390,3837,366688,497,,1182,108054
23-10-2020,3246,1331144,3938,362750,503,,1134,106920
22-10-2020,3213,1327931,3962,358788,501,,1152,105768
21-10-2020,3227,1324704,3989,354799,491,,1163,104605
20-10-2020,3285,1321419,3926,350873,495,,1138,103467
19-10-2020,3242,1318177,3961,346912,497,,1139,102328
18-10-2020,3287,1314890,3948,342964,494,,1194,101134
17-10-2020,3362,1311528,3972,338992,487,,1145,99989
16-10-2020,3321,1308207,3981,335011,489,,1153,98836
15-10-2020,3347,1304860,3965,331046,492,,1185,97651
14-10-2020,3385,1301475,3932,327114,493,,1146,96505
13-10-2020,3342,1298133,3986,323128,495,,1125,95380
12-10-2020,3328,1294805,3918,319210,493,,1137,94243
11-10-2020,3384,1291421,3959,315251,499,,1168,93075
10-10-2020,3429,1287992,3973,311278,501,,1207,91868
09-10-2020,3365,1284627,3894,307384,502,,1163,90705
08-10-2020,3342,1281285,3985,303399,503,,1171,89534
07-10-2020,3307,1277978,3948,299451,502,,1158,88376
06-10-2020,3359,1274619,3992,295459,503,,1127,87249
05-10-2020,3371,1271248,3963,291496,507,,1149,86100
04-10-2020,3352,1267896,3976,287520,505,,1183,84917
03-10-2020,3386,1264510,3953,283567,502,,1173,83744
02-10-2020,3473,1261037,4128,279439,501,,1202,82542
01-10-2020,3501,1257536,4072,275367,500,,1134,81408
30-09-2020,3537,1253999,4192,271175,501,,1151,80257
29-09-2020,3564,1250435,4139,267036,504,,1163,79094
28-09-2020,3659,1246776,4261,262775,501,,1129,77965
27-09-2020,3601,1243175,4087,258688,499,,1172,76793
