date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-05-01,muktsar,143,6.76,,"41 new cases (ili), 102 new cases",,8091,2179,5761,151
2021-05-01,fg sahib,75,5.96,,"26 new cases (ili), 49 new cases",,5145,384,4617,144
2021-05-01,tarn taran,53,4.16,,53 new cases,,5713,1004,4493,216
2021-05-01,moga,70,5.23,,75 new cases,,5484,1238,4123,123
2021-05-01,mansa,214,20.58,,214 new cases,,6565,2166,4324,75
2021-05-01,barnala,36,6.37,,36  new cases,,3713,515,3099,99
2021-05-01,total,,,,,,377990,58229,310601,9160
2021-04-30,ludhiana,792,9.06,,792 new cases,,54586,7790,45421,1375
2021-04-30,jalandhar,544,9.09,,544 new cases,,42917,4305,37530,1082
2021-04-30,sas nagar,857,20.03,,"30 contacts of positive case, 134 new case (ili), 693 new cases",,46570,9031,36944,595
2021-04-30,patiala,487,11.41,,"29 contacts of positive case,  458 new cases",,33041,4006,28258,777
2021-04-30,amritsar,518,10.35,,518 new cases,,32508,5190,26356,962
2021-04-30,hoshiarpur,256,8.14,,"58 contacts of positive case, 23 new case (ili), 175 new cases",,20418,1869,17822,727
2021-04-30,bathinda,696,19.16,,"21 contact of positive case, 102 new cases (ili), 573 new cases",,20662,4779,15537,346
2021-04-30,gurdaspur,117,3.81,,"18 contact of positive case, 7 new cases (ili), 92 new cases",,15445,1473,13469,503
2021-04-30,kapurthala,82,4.12,,82 new cases,,12349,1060,10957,332
2021-04-30,sbs nagar,53,3.48,,"13 new cases (ili), 40 new cases",,8775,546,7986,243
2021-04-30,pathankot,245,9.82,,"62 new cases (ili), 183 new cases",,10010,1558,8237,215
2021-04-30,sangrur,175,8.17,,175 new cases,,8565,1285,6946,334
2021-04-30,ferozepur,150,8.16,,150 new cases,,7634,1128,6286,220
2021-04-30,ropar,139,10.72,,139 new cases,,8224,1293,6669,262
2021-04-30,faridkot,104,6.24,,104  new cases,,7611,1306,6182,123
2021-04-30,fazilka,222,16.11,,"47 contact of positive case, 36 new case (ili), 139 new cases",,7538,1704,5704,130
2021-04-30,muktsar,158,8.7,,"43 new cases (ili), 115 new cases",,7948,2164,5638,146
2021-04-30,fg sahib,61,5.42,,"22 new cases (ili), 39 new cases",,5070,443,4483,144
2021-04-30,tarn taran,83,5.92,,83 new cases,,5660,957,4489,214
2021-04-30,moga,103,17.34,,103 new cases,,5414,1270,4021,123
2021-04-30,mansa,220,26.41,,220 new cases,,6351,2133,4144,74
2021-04-30,barnala,70,11.11,,70  new cases,,3677,508,3074,95
2021-04-30,total,,,,,,370973,55798,306153,9022
2021-04-29,ludhiana,1350,14.71,,1350 new cases,,53794,8045,44394,1355
2021-04-29,jalandhar,502,10.47,,502 new cases,,42373,4252,37046,1075
2021-04-29,sas nagar,888,27.16,,"33 contacts of positive case, 136 new case (ili), 719 new cases",,45713,8863,36263,587
2021-04-29,patiala,595,14.25,,"59 contacts of positive case, 536 new cases",,32569,3936,27868,765
2021-04-29,amritsar,478,10.86,,478 new cases,,31990,5034,26011,945
2021-04-29,hoshiarpur,284,11.92,,"79 contacts of positive case, 22 new case (ili), 183 new cases",,20162,1824,17616,722
2021-04-29,bathinda,515,18.19,,"15 contact of positive case, 58 new cases (ili), 442 new cases",,19966,4296,15324,346
2021-04-29,gurdaspur,201,6.44,,"32 contact of positive case, 23 new cases (ili), 146 new cases",,15344,1657,13189,498
2021-04-29,kapurthala,142,8.35,,142 new cases,,12275,1123,10823,329
2021-04-29,sbs nagar,56,3.51,,"19 new cases (ili), 37 new cases",,8727,555,7931,241
2021-04-29,pathankot,146,5.62,,"38 new cases (ili), 108 new cases",,9764,1477,8076,211
2021-04-29,sangrur,165,7.6,,165 new cases,,8390,1270,6792,328
2021-04-29,ferozepur,97,11.77,,97 new cases,,7492,1089,6188,215
2021-04-29,ropar,146,12.09,,146 new cases,,8085,1237,6586,262
2021-04-29,faridkot,148,19.71,,148  new cases,,7514,1365,6028,121
2021-04-29,fazilka,265,23.23,,"63 contact of positive case, 46 new case (ili), 156 new cases",,7327,1596,5604,127
2021-04-29,muktsar,355,19.97,,"59 new cases (ili), 296 new cases",,7790,2106,5545,139
2021-04-29,fg sahib,58,4.66,,"25 new cases (ili), 33 new cases",,5009,428,4440,141
2021-04-29,tarn taran,53,7.71,,"10 contact of positive case, 43 new cases",,5577,1029,4334,214
2021-04-29,moga,97,17.35,,97 new cases,,5311,1208,3982,121
2021-04-29,mansa,216,15.73,,216 new cases,,6131,2078,3979,74
2021-04-29,barnala,55,12.47,,55  new cases,,3607,486,3028,93
2021-04-29,total,,,,,,364910,54954,301047,8909
2021-04-28,ludhiana,952,8.99,,"83 contact of positive case,105 new cases (opd), 488 new cases (ili), 10 healthcare worker, 266 new cases",,52444,7853,43254,1337
2021-04-28,jalandhar,614,11.97,,614 new cases,,41894,4278,36548,1068
2021-04-28,sas nagar,867,25.01,,"26 contacts of positive case, 157 new case (ili), 684 new cases",,44825,8757,35489,579
2021-04-28,patiala,597,12.52,,"56 contacts of positive case,  541 new cases",,31993,3666,27573,754
2021-04-28,amritsar,501,11.24,,501 new cases,,31512,4905,25676,931
2021-04-28,hoshiarpur,249,10.68,,"42 contacts of positive case, 18 new case (ili), 189 new cases",,19878,1827,17335,716
2021-04-28,bathinda,421,13.35,,"2 contact of positive case, 74 new cases (ili), 345 new cases",,19451,4056,15070,325
